language,tokenizer_id,template_id,ascii_ratio,lsar,csbc,spr
Hindi,openai/tiktoken/o200k_base,template-78,0.250000,1.000000,0.000000,2.888889
Hindi,openai/tiktoken/o200k_base,template-596,0.273684,1.000000,0.000000,2.875000
Hindi,openai/tiktoken/o200k_base,template-263,0.215909,1.000000,0.000000,2.300000
Hindi,openai/tiktoken/o200k_base,template-966,0.198020,1.000000,0.000000,2.250000
Hindi,openai/tiktoken/o200k_base,template-870,0.138614,1.000000,0.000000,2.900000
Hindi,openai/tiktoken/o200k_base,template-584,0.084507,1.000000,0.000000,2.470588
Hindi,openai/tiktoken/o200k_base,template-14,0.151163,1.000000,0.000000,2.200000
Hindi,openai/tiktoken/o200k_base,template-540,0.095238,1.000000,0.000000,2.111111
Hindi,openai/tiktoken/o200k_base,template-86,0.096386,1.000000,0.000000,2.083333
Hindi,openai/tiktoken/o200k_base,template-973,0.138614,1.000000,0.000000,2.636364
Hindi,openai/tiktoken/o200k_base,template-638,0.086957,1.000000,0.000000,2.153846
Hindi,openai/tiktoken/o200k_base,template-744,0.138614,1.000000,0.000000,2.416667
Hindi,openai/tiktoken/o200k_base,template-255,0.083969,1.000000,0.000000,2.352941
Hindi,openai/tiktoken/o200k_base,template-99,0.084211,1.000000,0.000000,2.636364
Hindi,openai/tiktoken/o200k_base,template-516,0.083969,1.000000,0.000000,2.500000
Hindi,openai/tiktoken/o200k_base,template-945,0.092308,1.000000,0.000000,2.235294
Hindi,openai/tiktoken/o200k_base,template-54,0.257732,1.000000,0.000000,3.000000
Hindi,openai/tiktoken/o200k_base,template-528,0.242991,1.000000,0.000000,2.700000
Hindi,openai/tiktoken/o200k_base,template-366,0.208791,1.000000,0.000000,2.181818
Hindi,openai/tiktoken/o200k_base,template-958,0.242718,1.000000,0.000000,2.600000
Hindi,openai/tiktoken/o200k_base,template-352,0.142857,1.000000,0.000000,2.500000
Hindi,openai/tiktoken/o200k_base,template-413,0.085938,1.000000,0.000000,2.166667
Hindi,openai/tiktoken/o200k_base,template-571,0.096386,1.000000,0.000000,2.500000
